training_date,distance,duration,pace,kind,shoe_id,memo
2023-01-02,5,1800,6:00,0,3,2023-2024サンプル走
2023-01-05,12,4320,6:00,0,3,2023-2024サンプル走
2023-01-08,7.5,2700,6:00,0,3,2023-2024サンプル走
2023-01-10,18,6480,6:00,0,3,2023-2024サンプル走
2023-01-12,6,2160,6:00,0,3,2023-2024サンプル走
2023-01-16,20,7200,6:00,0,3,2023-2024サンプル走
2023-01-19,9,3240,6:00,0,3,2023-2024サンプル走
2023-01-22,15,5400,6:00,0,3,2023-2024サンプル走
2023-01-24,8,2880,6:00,0,3,2023-2024サンプル走
2023-01-26,16.5,5940,6:00,0,3,2023-2024サンプル走
2023-01-30,10,3600,6:00,0,3,2023-2024サンプル走
2023-02-02,19,6840,6:00,0,3,2023-2024サンプル走
2023-02-05,11,3960,6:00,0,3,2023-2024サンプル走
2023-02-07,14,5040,6:00,0,3,2023-2024サンプル走
2023-02-09,13,4680,6:00,0,3,2023-2024サンプル走
2023-02-13,17,6120,6:00,0,3,2023-2024サンプル走
2023-02-16,5.5,1980,6:00,0,3,2023-2024サンプル走
2023-02-19,19.5,7020,6:00,0,3,2023-2024サンプル走
2023-02-21,7,2520,6:00,0,3,2023-2024サンプル走
2023-02-23,12.5,4500,6:00,0,3,2023-2024サンプル走
2023-02-27,5,1800,6:00,0,3,2023-2024サンプル走
2023-03-02,12,4320,6:00,0,3,2023-2024サンプル走
2023-03-05,7.5,2700,6:00,0,3,2023-2024サンプル走
2023-03-07,18,6480,6:00,0,3,2023-2024サンプル走
2023-03-09,6,2160,6:00,0,3,2023-2024サンプル走
2023-03-13,20,7200,6:00,0,3,2023-2024サンプル走
2023-03-16,9,3240,6:00,0,3,2023-2024サンプル走
2023-03-19,15,5400,6:00,0,3,2023-2024サンプル走
2023-03-21,8,2880,6:00,0,3,2023-2024サンプル走
2023-03-23,16.5,5940,6:00,0,3,2023-2024サンプル走
2023-03-27,10,3600,6:00,0,3,2023-2024サンプル走
2023-03-30,19,6840,6:00,0,3,2023-2024サンプル走
2023-04-02,11,3960,6:00,0,3,2023-2024サンプル走
2023-04-04,14,5040,6:00,0,3,2023-2024サンプル走
2023-04-06,13,4680,6:00,0,3,2023-2024サンプル走
2023-04-10,17,6120,6:00,0,3,2023-2024サンプル走
2023-04-13,5.5,1980,6:00,0,3,2023-2024サンプル走
2023-04-16,19.5,7020,6:00,0,3,2023-2024サンプル走
2023-04-18,7,2520,6:00,0,3,2023-2024サンプル走
2023-04-20,12.5,4500,6:00,0,3,2023-2024サンプル走
2023-04-24,5,1800,6:00,0,3,2023-2024サンプル走
2023-04-27,12,4320,6:00,0,3,2023-2024サンプル走
2023-04-30,7.5,2700,6:00,0,3,2023-2024サンプル走
2023-05-02,18,6480,6:00,0,3,2023-2024サンプル走
2023-05-04,6,2160,6:00,0,3,2023-2024サンプル走
